EmpID,BiasInfluentialFactor,FitmentPercent
5664,DegreeBranch,89.118996
23568,DegreeBranch,95.63309
21490,MartialStatus,80.78689
8363,HighestDegree,54.506516
6165,Gender,78.26847
17679,CurrentCompanyType,57.90495
9715,DegreeBranch,81.90499
12591,CurrentCompanyType,56.00427
6140,CurrentCompanyType,62.39488
21018,CurrentCompanyType,58.31136
13221,DegreeBranch,76.173546
23585,YearsOfExperince,85.35943
22575,Ethinicity,79.93723
6078,HighestDegree,91.17241
24125,Gender,77.27598
18073,MartialStatus,53.393402
21420,LatestDegreeCGPA,84.499504
13218,YearsOfExperince,91.85753
8728,CurrentCompanyType,59.285553
21541,MartialStatus,51.599552
12905,YearsOfExperince,92.74692
19873,Gender,87.27824
6947,YearsOfExperince,89.4578
19019,DegreeBranch,82.39101
24372,HighestDegree,57.626854
5298,Gender,80.37808
18306,CurrentCompanyType,61.098133
22877,CurrentCompanyType,47.685963
15511,Gender,78.11847
11889,LatestDegreeCGPA,79.47692
9848,Gender,91.37047
4944,Gender,78.253136
4689,CurrentCompanyType,70.463425
24333,HighestDegree,93.430115
12186,EmpScore,83.69047
2936,DegreeBranch,83.245964
5082,CurrentCompanyType,56.760242
22236,EmpScore,94.29332
19221,HighestDegree,90.584404
20858,CurrentCompanyType,66.40147
16461,CurrentCompanyType,59.31689
22064,CurrentCompanyType,56.99175
3175,DegreeBranch,79.76506
18407,DegreeBranch,80.49326
3684,Gender,89.98612
2198,MartialStatus,52.904213
7540,Gender,80.89023
12700,DegreeBranch,89.75542
17503,DegreeBranch,89.80064
9153,CurrentCompanyType,46.778965
12564,EmpScore,55.134533
16511,Gender,72.826096
16396,CurrentCompanyType,58.794956
6871,HighestDegree,78.65141
9376,YearsOfExperince,85.31163
7865,EmpScore,82.91265
20616,CurrentCompanyType,52.80253
8839,DegreeBranch,87.734344
15788,DegreeBranch,95.56033
10040,Ethinicity,87.413315
6147,CurrentCompanyType,60.443542
24148,EmpScore,84.11057
4187,HighestDegree,56.657143
18097,EmpScore,54.651833
11617,DegreeBranch,84.3078
3642,Gender,83.94653
17990,Ethinicity,85.9552
10677,DegreeBranch,80.91405
2215,DegreeBranch,89.55228
9784,EmpScore,75.748764
13451,YearsOfExperince,76.87194
16266,LatestDegreeCGPA,78.24261
19313,DegreeBranch,79.55511
16790,Gender,72.933846
21204,HighestDegree,59.600273
24019,CurrentCompanyType,56.50945
14539,Gender,75.76603
3123,HighestDegree,79.180595
9647,HighestDegree,83.995674
18930,YearsOfExperince,81.933716
23676,Ethinicity,86.881546
16808,CurrentCompanyType,54.89275
23101,Gender,83.485695
3010,CurrentCompanyType,58.00665
4544,DegreeBranch,87.422264
22861,CurrentCompanyType,59.8173
10897,YearsOfExperince,97.001816
13475,CurrentCompanyType,58.56967
23461,EmpScore,89.05071
19877,Gender,84.10474
10949,CurrentCompanyType,44.231247
13759,Gender,74.49291
9443,YearsOfExperince,82.25327
5606,EmpScore,91.20849
21658,Gender,73.75617
9731,HighestDegree,58.937485
16330,YearsOfExperince,77.0972
18456,Gender,78.041336
22486,Gender,86.49791
4900,Gender,79.031006
12433,Gender,76.88757
10757,DegreeBranch,79.30945
20969,CurrentCompanyType,93.42997
4565,CurrentCompanyType,62.009537
16117,EmpScore,75.66452
22266,Gender,81.99957
23691,DegreeBranch,82.45475
14468,Gender,85.07235
9433,DegreeBranch,91.381355
2730,EmpScore,93.30839
13205,YearsOfExperince,86.16394
5829,CurrentCompanyType,53.59507
2418,Gender,76.11442
2634,DegreeBranch,83.00198
2693,Gender,84.16598
22436,Gender,85.15545
8840,Gender,78.468094
4130,YearsOfExperince,70.5589
13577,YearsOfExperince,80.276054
16463,Gender,72.87585
15922,MartialStatus,75.85441
16368,EmpScore,47.683132
18819,DegreeBranch,81.769035
14057,EmpScore,76.254364
12793,DegreeBranch,87.18871
12592,YearsOfExperince,81.24435
18919,Gender,76.91973
20836,DegreeBranch,92.69258
16849,Ethinicity,68.2503
17458,Gender,73.865135
3924,DegreeBranch,91.123665
9026,EmpScore,73.285095
6304,YearsOfExperince,76.7547
12307,YearsOfExperince,86.71786
17526,CurrentCompanyType,48.32903
11500,CurrentCompanyType,44.746006
11333,DegreeBranch,81.007965
12156,DegreeBranch,89.78468
11591,YearsOfExperince,80.93562
16930,CurrentCompanyType,43.200356
18677,DegreeBranch,80.97764
14424,DegreeBranch,79.281075
24095,EmpScore,58.943474
21803,LatestDegreeCGPA,71.863525
24365,CurrentCompanyType,50.528767
21897,LatestDegreeCGPA,84.09601
12218,CurrentCompanyType,58.282253
6426,Ethinicity,78.879425
18233,Gender,81.866516
16313,Gender,80.28859
19552,YearsOfExperince,83.031006
3394,CurrentCompanyType,59.399757
21300,YearsOfExperince,76.98166
19989,DegreeBranch,76.77428
18968,Gender,79.05202
17609,Gender,84.42931
6393,CurrentCompanyType,63.14233
18566,CurrentCompanyType,54.14078
18652,Gender,77.73572
6284,EmpScore,90.9429
10974,Gender,84.26873
9330,DegreeBranch,78.704445
20382,DegreeBranch,83.94276
14652,CurrentCompanyType,54.595684
15787,Gender,84.12884
19436,CurrentCompanyType,60.170013
7393,MartialStatus,85.19466
9058,DegreeBranch,91.74351
11633,CurrentCompanyType,54.19622
13719,Gender,82.578545
11529,YearsOfExperince,85.15285
10025,EmpScore,44.1446
14861,YearsOfExperince,78.11859
9580,Gender,90.88653
14427,CurrentCompanyType,48.350334
20740,HighestDegree,82.0487
18768,DegreeBranch,80.094666
20259,Gender,76.05318
18190,HighestDegree,92.110634
11050,DegreeBranch,90.99122
21005,Gender,80.95361
17701,Ethinicity,79.99118
10792,DegreeBranch,84.67653
2785,CurrentCompanyType,62.388382
15529,HighestDegree,92.72463
21480,MartialStatus,84.48008
6154,YearsOfExperince,71.86929
5826,HighestDegree,95.591545
11819,DegreeBranch,81.57694
21236,EmpScore,80.84753
8350,CurrentCompanyType,55.963814
15823,Gender,80.43058
9144,Gender,81.991425
13558,YearsOfExperince,89.78831
16434,Gender,75.996376
21895,CurrentCompanyType,55.77341
22161,CurrentCompanyType,55.72235
12676,CurrentCompanyType,47.519325
8441,CurrentCompanyType,45.45817
19130,CurrentCompanyType,52.518642
23954,DegreeBranch,56.81581
23367,Gender,75.43026
20027,Gender,71.53022
3999,CurrentCompanyType,53.057007
22447,YearsOfExperince,77.68545
11876,Ethinicity,81.283035
15118,CurrentCompanyType,55.694324
11302,YearsOfExperince,86.5939
13884,Gender,67.027824
22852,Gender,73.32796
3287,DegreeBranch,88.21937
5784,YearsOfExperince,82.44712
24277,DegreeBranch,77.68214
13926,Gender,83.20048
2852,DegreeBranch,85.47802
5124,HighestDegree,62.536396
22611,CurrentCompanyType,64.978294
14877,Ethinicity,79.199
20937,EmpScore,57.110546
16154,LatestDegreeCGPA,79.96614
20388,YearsOfExperince,82.907486
22392,DegreeBranch,90.735344
4555,DegreeBranch,44.544937
17815,EmpScore,45.664448
20186,DegreeBranch,83.76473
23435,Gender,74.81084
16770,DegreeBranch,82.37239
8341,CurrentCompanyType,52.50943
13552,DegreeBranch,78.74381
3915,DegreeBranch,83.58973
23201,DegreeBranch,93.75622
7425,EmpScore,87.955154
4966,Gender,82.44502
2772,DegreeBranch,86.47837
22279,DegreeBranch,77.80392
15389,CurrentCompanyType,46.593647
10680,CurrentCompanyType,49.148632
7030,MartialStatus,78.30476
10250,HighestDegree,54.619137
19636,CurrentCompanyType,94.98296
15436,YearsOfExperince,85.894394
8730,DegreeBranch,88.08671
21298,EmpScore,87.92973
8517,HighestDegree,50.044952
10527,CurrentCompanyType,58.55097
21230,Gender,86.568855
18809,DegreeBranch,79.25193
3934,YearsOfExperince,79.91133
10115,YearsOfExperince,84.975525
19773,Ethinicity,74.34296
16014,EmpScore,93.89047
7312,EmpScore,87.69826
14091,Gender,83.09518
8717,HighestDegree,49.90241
8953,DegreeBranch,86.514824
17773,MartialStatus,82.46385
2872,MartialStatus,79.05718
21162,Gender,83.41274
15809,CurrentCompanyType,56.30421
11754,Gender,76.07746
9338,DegreeBranch,90.466675
11212,YearsOfExperince,91.271065
5007,DegreeBranch,87.057175
5601,Ethinicity,57.951694
17520,DegreeBranch,81.244804
20883,HighestDegree,63.15856
3944,YearsOfExperince,88.571625
6887,EmpScore,68.554405
20677,YearsOfExperince,91.850174
20521,Gender,79.87718
12514,Gender,78.90939
23706,Gender,76.08741
13513,YearsOfExperince,82.15139
18729,YearsOfExperince,80.55361
22103,Gender,72.270805
15153,DegreeBranch,78.69121
10525,EmpScore,73.37054
8397,DegreeBranch,87.62861
11678,CurrentCompanyType,47.60625
8262,Gender,82.71191
17024,CurrentCompanyType,55.60276
11735,Gender,76.954094
8527,Gender,76.953285
9452,CurrentCompanyType,59.431324
23975,DegreeBranch,83.81819
15880,LatestDegreeCGPA,82.62598
9497,DegreeBranch,84.63073
22405,DegreeBranch,86.46641
17448,HighestDegree,60.13133
19791,DegreeBranch,79.62406
4062,CurrentCompanyType,55.529312
8915,DegreeBranch,79.99764
14298,HighestDegree,77.17789
12434,Gender,80.58847
12028,HighestDegree,84.18387
17305,DegreeBranch,73.046684
9426,CurrentCompanyType,91.15662
10131,Gender,72.64741
9652,Gender,78.05353
14477,Gender,73.18538
2091,Gender,67.67199
3821,DegreeBranch,85.37683
12396,CurrentCompanyType,51.711456
14241,YearsOfExperince,89.21789
23742,DegreeBranch,82.5085
19466,DegreeBranch,60.06618
5883,MartialStatus,78.691925
24132,DegreeBranch,93.652115
16250,EmpScore,84.55982
16401,CurrentCompanyType,58.28309
4824,YearsOfExperince,82.71095
10957,YearsOfExperince,74.21538
11750,DegreeBranch,77.38272
13935,MartialStatus,80.01475
16029,Gender,77.92844
9295,YearsOfExperince,86.80083
21345,CurrentCompanyType,48.3272
22123,Gender,76.819954
19872,Gender,77.82755
17118,HighestDegree,83.37918
17121,MartialStatus,87.343956
6966,DegreeBranch,90.83559
24062,YearsOfExperince,76.17242
9238,HighestDegree,86.42364
6590,YearsOfExperince,76.90764
4352,CurrentCompanyType,48.62036
8562,YearsOfExperince,89.07587
9557,YearsOfExperince,78.61244
7737,DegreeBranch,75.85355
11090,DegreeBranch,54.33311
2898,LatestDegreeCGPA,46.24319
12094,YearsOfExperince,79.46747
10557,EmpScore,80.08735
19360,Gender,83.754654
12173,DegreeBranch,94.19417
18496,EmpScore,91.2226
4044,MartialStatus,63.242256
8828,Gender,78.47805
5822,DegreeBranch,75.44699
4800,DegreeBranch,48.95325
19690,EmpScore,81.3927
13470,DegreeBranch,75.749695
17247,DegreeBranch,81.88358
19126,Gender,78.9448
17279,Gender,81.41268
11804,Gender,72.070045
15672,YearsOfExperince,77.1089
6921,YearsOfExperince,87.02593
16364,YearsOfExperince,87.123695
3186,DegreeBranch,50.12035
20973,LatestDegreeCGPA,55.67826
24245,DegreeBranch,87.03818
23278,DegreeBranch,77.46635
13294,DegreeBranch,92.340546
4768,Gender,81.874115
22217,DegreeBranch,76.424194
12584,Ethinicity,82.2378
8578,Gender,73.71284
10623,DegreeBranch,80.49423
7326,CurrentCompanyType,54.57351
14092,DegreeBranch,93.06608
14482,CurrentCompanyType,66.70611
22022,DegreeBranch,78.86854
23284,DegreeBranch,90.21221
23999,YearsOfExperince,64.17495
10655,LatestDegreeCGPA,75.13316
24045,EmpScore,90.05167
4986,Gender,90.615616
22449,DegreeBranch,93.843925
10719,DegreeBranch,85.95498
14917,Gender,79.05291
18926,DegreeBranch,79.07831
5227,DegreeBranch,89.2926
22606,CurrentCompanyType,92.26166
5037,EmpScore,58.27552
13962,Gender,78.997025
7418,YearsOfExperince,79.41672
12572,EmpScore,85.25612
10207,DegreeBranch,80.69058
20347,YearsOfExperince,71.17592
12982,CurrentCompanyType,81.31201
7210,CurrentCompanyType,57.458065
19779,DegreeBranch,83.64097
16265,YearsOfExperince,88.09416
23858,YearsOfExperince,72.41679
19926,Gender,76.90795
9915,MartialStatus,81.908325
14873,DegreeBranch,79.01874
23033,EmpScore,54.14111
20379,CurrentCompanyType,61.884197
23862,Gender,84.42611
3961,DegreeBranch,89.10877
20156,EmpScore,55.96098
2845,CurrentCompanyType,52.1971
21319,Gender,78.22216
23319,Gender,79.713264
11447,Gender,81.12939
23088,Gender,85.97809
13532,EmpScore,89.32105
22777,Gender,82.520836
